Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
Title,Text,The program has encountered an error,应用程序未捕获的异常,應用程式未捕獲的異常,Программа столкнулась с ошибкой,Програма зіткнулася з помилкою
B1,Text,Copy and go to GitHub,复制并转到 GitHub,複製並前往 GitHub,Скопировать и перейти на GitHub,Скопіювати та перейти на GitHub
B2,Text,Close,关闭,關閉,Закрыть,Закрити
Description_1,Text,Please report this issue on GitHub.,请在 GitHub 上报告此问题。,請在 GitHub 上回報此問題。,"Пожалуйста, сообщите об этой проблеме на GitHub.","Будь ласка, повідомте про цю проблему на GitHub."
Description_2,Text,Providing the following information might help us fix the issue:,提供以下信息可能有助于我们解决问题：,提供以下資訊可能有助於我們解決問題：,Предоставление следующей информации может помочь нам решить проблему: ,Надання наступної інформації може допомогти нам вирішити проблему:
