Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
Title,Text,Delete Instance,删除实例,删除实例,Удалить экземпляр,Видалити екземпляр
Text1,Text,Are you sure you want to delete this instance?,你确定要删除此实例吗？,你确定要删除此实例吗？,"Вы уверены, что хотите удалить этот экземпляр?","Ви впевнені, що хочете видалити цей екземпляр?"
Text2,Text,will be lost forever! (Actually forever),将永远失去！ （真的很久）,将永远失去！ （真的很久）,Будет утерян навсегда! (На самом деле навсегда),буде втрачено назавжди! (Насправді назавжди)
CheckBox,Content,Delete together with stored instance settings,与存储的实例设置一起删除,与存储的实例设置一起删除,Удалить вместе с сохранёнными настройками экземпляра,Видалити разом зі збереженими налаштуваннями екземпляра
