Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
B1,Label,Texture File,材质文件,材質文件,Файл текстуры,Файл текстури
B2,Label,Switch Cape,切换披风,切換披風,Переключить плащ,Перемикання плащів
B3,Label,Upload Cape,上传皮肤,上傳皮膚,Загрузить плащ,Завантаження плащів
B4,Label,Setting on the official website,在官网进行设置,在官網進行設置,Настройки на официальном сайте,Налаштування на офіційному сайті
_Cape,,Cape,披风,披風,Кейп,Кейп
_Classic,,Classic Model,经典模型,經典模型,Классическая модель,Класична модель
_Slim,,Slim Model,纤细模型,纖細模型,Узкая модель,Слім-модель
_NoCape,,No Active Cape,没有激活的披风,沒有啟用的披風,Нет активного плаща,Без активного плаща
