Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
T,Text,Minecraft Data Folder,Minecraft 数据文件夹,Minecraft 數據文件夾,Расположение Minecraft,Розташування Minecraft
D1,Text,You need a configured .minecraft directory to store your minecraft instances,您至少需要一个 .minecraft 目录来存储您的 Minecraft 实例,您至少需要一個 .minecraft 目錄來儲存您的 Minecraft 實例,Вам понадобится настроенный каталог .minecraft для хранения ваших экземпляров Minecraft.,Вам потрібен налаштований каталог .minecraft для зберігання ваших екземплярів minecraft
D2,Text,"Once done, you can also modify these settings in the global game settings",完成后，您还可以在全局游戏设置中修改这些设置,完成後，您還可以在全局遊戲設置中修改這些設置,Позже вы сможете изменить это в глобальных настройках игры,Після цього ви також зможете змінити ці параметри в глобальних налаштуваннях гри
DetectBtn,ToolTipService.ToolTip,Detect the .minecraft folder of the official Minecraft Launcher,检测官方启动器 .minecraft 文件夹,檢測官方啟動器 .minecraft 文件夾,Найти папку .minecraft от официального лаунчера Minecraft,Знайти папку .minecraft від офіційного лаунчера Minecraft
AddBtn,ToolTipService.ToolTip,Add a .minecraft data folder manually,手动添加 Minecraft 数据文件夹,手動添加 Minecraft 數據文件夾,Добавить папку .minecraft вручную,Додати папку .minecraft вручну
H,Text,Selected: ,现有的：,現有的：,Выбранная папка: ,Обрана: 
